Year,Player,Age,Team,Games,MP,PTS,TRB,AST,STL,BLK,FG_Percentage,Three_Pt_Percentage,FT_Percentage,WS,WS_Per_48_Min
2023,Jayson Tatum,24,BOS,70,36.6,30.5,8.2,4.1,1,1,0.48,0.365,0.863,10.92,0.205
2023,Luka Doncic,23,DAL,70,36.8,32.9,8.6,8.7,1.7,0.7,0.503,0.348,0.724,14,0.262
2023,Giannis Antetokounmpo,28,MIL,70,33,32,11.1,5.5,0.8,1,0.548,0.262,0.631,10.85,0.224
2023,Stephen Curry,34,GSW,70,34.8,30,6.6,7,1,0.3,0.499,0.432,0.906,11.56,0.227
2023,Devin Booker,26,PHX,70,35.4,27.9,4.9,5.8,1,0.4,0.484,0.382,0.875,9.8,0.191
2023,Nikola Jokic,27,DEN,70,32.4,23.5,10,8.9,1.2,0.6,0.625,0.321,0.801,15.6,0.29
2023,Ja Morant,23,MEM,70,33.1,28.3,6.6,7.6,1.1,0.2,0.465,0.379,0.746,10.19,0.171
2023,Anthony Davis,29,LAL,70,33.3,27.3,12.3,2.6,1.3,2.3,0.59,0.333,0.823,13.66,0.284
2023,Zion Williamson,22,NOR,70,32.1,23.9,7.2,4.3,1.3,0.6,0.596,0.273,0.72,10.31,0.22
2023,Kevin Durant,34,BKN,70,36.8,29.8,7.1,4.3,1.1,1.1,0.556,0.342,0.919,11.31,0.211